name,inst,ntisQual,remainQual,lct,acc,coop,qunt,qual,expert
김태성,한국원자력연구원 기계공학과,0,0.09531018,0.35,0.02,0,0.352284681,0.001425389,0
이진천,디씨에스,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
이용욱,전주대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
여인수,한국도로협회,0,0.09531018,0.3,0.02,0,0.301964168,0.001425389,0
김동수,한국도로공사 부산외곽건설사업단,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
Lee HeonGyu,가이온 빅데이터연구소,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
김형주,과학기술정책연구원,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
문성훈,서울여대 기초교육원,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
최선주,한국문화관광연구원,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
이혜린,경희대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
백종문,한국과학기술원,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
한민수,한국과학기술원,0,0.09531018,0.2,0.02,0,0.201323143,0.001425389,0
서호영,한국수산과학회 양식분과,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
명정인,국립수산과학원 제주수산연구소,0,0.09531018,0.4,0.02,0,0.402605194,0.001425389,0
곽호영,JEJU NATIONAL UNIVERSITY DEPARTMENT OF COMPUTER ENGINEERING,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
곽호영,제주대학교,3.625260741,0,0.475,1,0,0.478127055,0.299206204,0
주낙근,동신대학교,2.918634733,0.09531018,0.5,1,0,0.503287311,0.24231113,0
Yong-Sun Oh,목원대학교,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
최봉문,목원대학교,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
황의철,"KWANGJU WOMEN""S UNIVERSITY DEPT, OF SERVICE MANAGEMENT",0,0.09531018,0.3,0.02,0,0.301964168,0.001425389,0
황의철,광주여자대학교,0,0.09531018,0.5,1,0,0.50324622,0.001425389,0
경병표,공주대학교,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
김경민,신라대학교,0,0.09531018,0.35,0.02,0,0.352284681,0.001425389,0
Young-Suk Lee,동국대학교,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
이호신,한국과학기술정보연구원 중소기업지원센터,0,0.09531018,0.3,0.02,0,0.301964168,0.001425389,0
김영순,한국콘텐츠학회,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
서동조,서울디지털대학교,0,0.19062036,0.225,0.02,0,0.22652449,0.002850778,0
오충식,한국과학기술정보연구원 정보화혁신실,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
이병엽,배재대학교,3.973731289,1.895368452,0.485,0.02,0,0.488355523,0.356312505,0
이종우,숙명여자대학교,0,0.09531018,0.4,0.02,0,0.402605194,0.001425389,0
최동운,Wonkwang University 컴퓨터소프트웨어공학과,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
최동운,원광대학교,0,0.78845736,0.4,1,0.006944444,0.402605194,0.011791588,0
권충훈,"KWANGJU WOMEN’S UNIVERSITY DEPT, OF SECONDARY SPECIAL EDUCATION",0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
권충훈,광주여자대학교,0,3.869449478,0.5,1,0,0.503328402,0.057868637,0
Yunsik Jang,한림대학교,0,0.09531018,0.4,0.02,0,0.402605194,0.001425389,0
황인표,한국인터넷진흥원 위치정보활용팀,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
손화철,한동대학교,0,0.19062036,0.475,0.02,0,0.478127055,0.002850778,0
김석우,KOREA INSTITUTE OF ENERGY RESEARCH WIND ENERGY LABORATORY,0,0.09531018,0.4,0.02,0,0.402605194,0.001425389,0
김석우,부산대학교,0,2.867898902,0.5,0.02,0,0.50324622,0.042890184,0
이미영,BUSAN ANIMAL MEDICAL CENTER DEPARTMENT OF VETERINARY RADIOLOGY,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
이선희,사이버한국외국어대학교,0,0.09531018,0.4,0.02,0,0.402605194,0.001425389,0
송재엽,나라컨트롤,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
김석우,삼성전자,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
채영태,청주대학교,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
김종훈,한국에너지기술연구원 에너지ICT·ESS연구실 건물에너지그룹,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
김종훈,충남대학교,3.560119093,0.09531018,0.5,1,0,0.503328402,0.295255212,0
맹효영,한국수력원자력 중앙연구원,0,0.09531018,0.5,1,0,0.50324622,0.001425389,0
김재욱,서울과학기술대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
김재욱,한국한의학연구원,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
최안섭,SEJONG UNIVERSITY DEPARTMENT OF ARCHITECTURAL ENGINEERING,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
최안섭,세종대학교,4.57811312,0,0.5,1,0,0.503410585,0.377848643,0
이가은,경희대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
박성용,중앙대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
박성용,서강대학교,4.23752324,0,0,0.02,0,0.000164366,0.349738497,0
박병철,전자부품연구원 전문원부,0,0.09531018,0.45,0.02,0,0.452925707,0.001425389,0
박병철,서울대학교,2.950412048,0,0.5,1,0,0.50324622,0.243508441,0
이판묵,선박해양플랜트연구소 해양ICT연구본부,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
김종규,전남대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
유희정,영남대학교,0,0.09531018,0.35,0.02,0,0.352284681,0.001425389,0
유희정,한신대학교,0,1.704748092,0.5,0.02,0,0.50324622,0.025494957,0
