0,lct,acc,coop,qunt,qual,expert
1,0.35,0.02,0,0.352284681,0.001425389,0
2,0.25,0.02,0,0.251643655,0.001425389,0
3,0.5,0.02,0,0.50324622,0.001425389,0
4,0.3,0.02,0,0.301964168,0.001425389,0
5,0.5,0.02,0,0.50324622,0.001425389,0
6,0.45,0.02,0,0.452925707,0.001425389,0
7,0.25,0.02,0,0.251643655,0.001425389,0
8,0.5,0.02,0,0.50324622,0.001425389,0
9,0.5,0.02,0,0.50324622,0.001425389,0
10,0.5,0.02,0,0.50324622,0.001425389,0
11,0.5,0.02,0,0.50324622,0.001425389,0
12,0.2,0.02,0,0.201323143,0.001425389,0
13,0.5,0.02,0,0.50324622,0.001425389,0
14,0.4,0.02,0,0.402605194,0.001425389,0
15,0.5,0.02,0,0.50324622,0.001425389,0
16,0.475,1,0,0.478127055,0.299206204,0
17,0.5,1,0,0.503287311,0.24231113,0
18,0.45,0.02,0,0.452925707,0.001425389,0
19,0.25,0.02,0,0.251643655,0.001425389,0
20,0.3,0.02,0,0.301964168,0.001425389,0
21,0.5,1,0,0.50324622,0.001425389,0
22,0.45,0.02,0,0.452925707,0.001425389,0
23,0.35,0.02,0,0.352284681,0.001425389,0
24,0.45,0.02,0,0.452925707,0.001425389,0
25,0.3,0.02,0,0.301964168,0.001425389,0
26,0.5,0.02,0,0.50324622,0.001425389,0
27,0.225,0.02,0,0.22652449,0.002850778,0
28,0.5,0.02,0,0.50324622,0.001425389,0
29,0.485,0.02,0,0.488355523,0.356312505,0
30,0.4,0.02,0,0.402605194,0.001425389,0
31,0.25,0.02,0,0.251643655,0.001425389,0
32,0.4,1,0.006944444,0.402605194,0.011791588,0
33,0.5,0.02,0,0.50324622,0.001425389,0
34,0.5,1,0,0.503328402,0.057868637,0
35,0.4,0.02,0,0.402605194,0.001425389,0
36,0.5,0.02,0,0.50324622,0.001425389,0
37,0.475,0.02,0,0.478127055,0.002850778,0
38,0.4,0.02,0,0.402605194,0.001425389,0
39,0.5,0.02,0,0.50324622,0.042890184,0
40,0.25,0.02,0,0.251643655,0.001425389,0
41,0.4,0.02,0,0.402605194,0.001425389,0
42,0.5,0.02,0,0.50324622,0.001425389,0
43,0.25,0.02,0,0.251643655,0.001425389,0
44,0.45,0.02,0,0.452925707,0.001425389,0
45,0.45,0.02,0,0.452925707,0.001425389,0
46,0.5,1,0,0.503328402,0.295255212,0
47,0.5,1,0,0.50324622,0.001425389,0
48,0.5,0.02,0,0.50324622,0.001425389,0
49,0.5,0.02,0,0.50324622,0.001425389,0
50,0.5,0.02,0,0.50324622,0.001425389,0
51,0.5,1,0,0.503410585,0.377848643,0
52,0.5,0.02,0,0.50324622,0.001425389,0
53,0.5,0.02,0,0.50324622,0.001425389,0
54,0,0.02,0,0.000164366,0.349738497,0
55,0.45,0.02,0,0.452925707,0.001425389,0
56,0.5,1,0,0.50324622,0.243508441,0
